Text;Label
"I love this product! It's amazing!";true
"This is the worst purchase I've ever made.";false
"Good quality, but shipping was slow.";false
"Excellent customer service, very happy!";true
"Not worth the money, totally regret it.";false
"Highly recommend this! Very happy with my purchase.";true
"Awful experience, I will never buy again.";false
"Absolutely fantastic, exceeded my expectations!";true
"Terrible product, it broke after one use.";false
"Best thing I have ever bought, highly satisfied.";true
