Text,Label
I love this product,true
Such a waste of time,false
The experience was amazing,true
I'm so excited about this,true
This is fantastic,true
I love this product,true
The experience was amazing,true
Such a waste of time,false
This is a complete failure,false
Worst purchase ever,false
Such a waste of time,false
What a great day,true
Totally worth it,true
Terrible service,false
What a great day,true
The service was awful,false
Highly recommend it,true
Such a waste of time,false
I hate this product,false
Never coming back here,false
I'm so excited about this,true
What a great day,true
I love this product,true
I love this product,true
Such a waste of time,false
Best decision ever,true
This is a complete failure,false
Highly recommend it,true
I'm so disappointed,false
I'm so excited about this,true
Totally worth it,true
This place is awesome,true
I'm so disappointed,false
I'm so disappointed,false
The service was awful,false
Worst purchase ever,false
Terrible service,false
This is fantastic,true
This place is awesome,true
Such a waste of time,false
Really bad experience,false
This place is awesome,true
Really bad experience,false
I love this product,true
This place is awesome,true
Totally worth it,true
The service was awful,false
I'm so excited about this,true
This is fantastic,true
What a great day,true
This place is awesome,true
This is fantastic,true
Really bad experience,false
This place is awesome,true
Terrible service,false
I hate this product,false
Totally worth it,true
I'm so excited about this,true
What a great day,true
The service was awful,false
Never coming back here,false
Terrible service,false
So upset with it,false
Never coming back here,false
This place is awesome,true
Totally worth it,true
Worst purchase ever,false
Highly recommend it,true
Highly recommend it,true
I'm so disappointed,false
Worst purchase ever,false
I'm so excited about this,true
This is fantastic,true
I feel so happy right now,true
Highly recommend it,true
I love this product,true
I'm so disappointed,false
Totally worth it,true
Worst purchase ever,false
Terrible service,false
I'm so excited about this,true
The experience was amazing,true
Terrible service,false
Terrible service,false
What a great day,true
Highly recommend it,true
Totally worth it,true
I'm so disappointed,false
I'm so disappointed,false
I'm so disappointed,false
I'm so disappointed,false
Really bad experience,false
So upset with it,false
What a great day,true
This is fantastic,true
Really bad experience,false
The service was awful,false
Best decision ever,true
Best decision ever,true
This is a complete failure,false
I'm so disappointed,false
Terrible service,false
What a great day,true
So upset with it,false
The service was awful,false
Highly recommend it,true
Worst purchase ever,false
This place is awesome,true
Totally worth it,true
This place is awesome,true
This is a complete failure,false
I hate this product,false
Worst purchase ever,false
The service was awful,false
Never coming back here,false
I'm so excited about this,true
What a great day,true
I'm so excited about this,true
Totally worth it,true
I'm so excited about this,true
