TransactionId,Amount,HourOfDay,MerchantCategory,Location,TransactionType,HistoricalAvgAmount,NumTransactionsLast24h,IsFraud
1,136.24,3,Electronics,CA,In-Store,181.31,1,1
2,183.12,23,Gas,CA,In-Store,154.54,5,0
3,82.66,2,Travel,FL,In-Store,61.95,1,1
4,67.12,3,Electronics,FL,Online,45.06,4,0
5,35.64,0,Gas,NY,In-Store,53.13,3,0
6,10.53,11,Grocery,CA,Online,15.42,0,0
7,176.14,6,Clothing,NY,Online,200.99,4,0
8,171.75,14,Restaurants,FL,In-Store,129.86,1,0
9,137.13,2,Electronics,WA,Online,99.40,1,1
10,160.63,7,Gas,TX,Online,86.96,2,0
11,79.35,16,Travel,NY,In-Store,61.94,1,0
12,178.85,4,Restaurants,WA,Online,207.33,2,1
13,41.86,21,Travel,CA,In-Store,56.38,8,0
14,49.64,6,Grocery,FL,Online,39.99,8,0
15,21.08,11,Restaurants,WA,In-Store,22.67,3,0
16,23.08,6,Electronics,NY,Online,13.32,8,0
17,144.84,13,Gas,NY,Online,115.25,0,1
18,87.27,22,Gas,CA,Online,103.59,5,0
19,184.24,15,Grocery,TX,In-Store,116.34,7,0
20,206.85,5,Grocery,IL,In-Store,223.69,4,0
21,59.48,4,Electronics,WA,In-Store,38.02,5,0
22,57.56,5,Restaurants,FL,In-Store,37.76,1,1
23,2292.00,16,Electronics,IL,Online,1175.81,9,1
24,147.30,3,Gas,FL,In-Store,111.41,7,0
25,99.87,8,Electronics,CA,Online,94.25,6,0
26,95.55,15,Travel,FL,In-Store,141.34,3,0
27,124.17,11,Travel,WA,In-Store,177.39,8,0
28,27.05,14,Gas,CA,In-Store,25.09,6,0
29,49.58,10,Clothing,WA,Online,44.02,5,0
30,111.56,14,Restaurants,IL,Online,141.96,6,0
31,48.25,17,Restaurants,CA,Online,58.38,3,0
32,50.45,7,Gas,TX,In-Store,37.59,7,0
33,134.75,13,Clothing,FL,Online,127.87,3,0
34,198.45,14,Clothing,WA,In-Store,209.37,1,0
35,129.68,11,Travel,FL,In-Store,168.74,1,0
36,17.92,9,Restaurants,CA,In-Store,20.15,0,0
37,142.81,22,Electronics,NY,In-Store,145.64,7,0
38,135.42,21,Gas,CA,Online,184.53,5,1
39,28.25,14,Grocery,FL,Online,33.19,3,0
40,113.91,7,Restaurants,IL,In-Store,85.29,8,0
41,31.39,15,Restaurants,TX,In-Store,42.61,1,0
42,165.75,11,Grocery,IL,In-Store,241.72,4,0
43,151.69,6,Clothing,FL,In-Store,125.92,9,0
44,510.08,2,Clothing,TX,In-Store,615.03,2,0
45,126.20,16,Grocery,TX,Online,169.86,9,1
46,88.87,15,Gas,CA,Online,88.01,1,1
47,132.67,22,Electronics,TX,In-Store,129.91,1,0
48,145.71,1,Electronics,NY,Online,161.36,8,1
49,14.92,19,Electronics,IL,In-Store,10.47,5,0
50,148.29,21,Restaurants,WA,Online,201.81,0,0
51,82.03,20,Grocery,IL,Online,48.81,1,0
52,9.66,11,Electronics,NY,Online,8.69,4,0
53,55.48,20,Electronics,WA,In-Store,67.58,7,0
54,43.60,1,Gas,CA,Online,57.35,1,1
55,37.53,20,Clothing,CA,In-Store,49.60,1,0
56,74.36,5,Clothing,CA,In-Store,87.05,5,0
57,145.68,11,Travel,TX,In-Store,158.13,8,0
58,177.93,22,Clothing,TX,In-Store,89.80,2,0
59,147.60,4,Electronics,TX,In-Store,178.41,3,1
60,108.38,19,Restaurants,NY,In-Store,94.31,0,0
61,185.86,12,Travel,WA,Online,211.52,9,0
62,65.44,2,Clothing,TX,Online,35.61,9,0
63,100.60,21,Restaurants,CA,Online,122.90,0,1
64,47.92,2,Electronics,NY,Online,68.78,0,0
65,189.30,23,Travel,FL,Online,267.26,3,1
66,21.63,6,Gas,TX,Online,10.94,8,0
67,13.06,2,Clothing,CA,In-Store,8.92,3,0
68,162.56,21,Gas,TX,Online,102.67,0,1
69,148.86,23,Clothing,IL,In-Store,175.03,6,0
70,175.52,20,Travel,CA,Online,224.37,8,0
71,161.45,14,Electronics,FL,Online,215.13,0,1
72,97.16,18,Travel,FL,Online,57.25,2,0
73,108.72,13,Electronics,IL,In-Store,158.70,3,0
74,146.74,23,Gas,NY,In-Store,162.55,3,0
75,100.18,23,Travel,FL,In-Store,107.19,1,1
76,2563.97,10,Gas,WA,In-Store,1883.96,2,1
77,100.08,0,Electronics,TX,Online,59.93,1,1
78,151.95,6,Electronics,CA,In-Store,165.36,7,0
79,138.44,21,Gas,FL,Online,194.62,2,1
80,56.70,1,Gas,IL,Online,48.95,8,0
81,94.45,15,Restaurants,FL,Online,76.70,4,0
82,160.22,13,Restaurants,CA,Online,199.66,5,0
83,66.32,2,Gas,CA,Online,43.81,8,1
84,1625.15,23,Travel,TX,In-Store,1001.16,3,1
85,13.84,11,Clothing,NY,Online,8.37,5,0
86,124.62,20,Grocery,CA,In-Store,66.26,0,0
87,146.99,13,Clothing,IL,Online,90.86,4,0
88,161.27,1,Gas,NY,In-Store,105.44,4,0
89,174.59,22,Clothing,CA,In-Store,198.97,1,0
90,66.63,7,Grocery,WA,Online,39.15,3,0
91,6.67,16,Grocery,CA,In-Store,8.94,2,0
92,90.86,19,Grocery,WA,In-Store,135.94,1,0
93,169.70,18,Grocery,IL,In-Store,120.17,7,0
94,33.32,0,Restaurants,IL,In-Store,30.91,1,0
95,50.97,0,Electronics,FL,In-Store,70.80,1,0
96,76.79,3,Restaurants,NY,In-Store,92.01,2,1
97,2474.93,3,Travel,FL,Online,2906.27,5,1
98,161.51,1,Restaurants,IL,In-Store,200.48,3,0
99,127.20,20,Grocery,FL,Online,168.43,4,0
100,126.70,7,Travel,TX,In-Store,166.55,1,0
101,23.38,12,Travel,WA,Online,17.48,3,1
102,62.48,9,Restaurants,CA,Online,31.79,6,0
103,151.84,3,Travel,NY,Online,226.53,0,0
104,65.69,16,Clothing,IL,In-Store,86.20,6,0
105,35.77,18,Clothing,WA,Online,17.92,5,0
106,181.96,7,Travel,WA,In-Store,138.61,0,0
107,187.15,21,Clothing,WA,In-Store,180.39,9,0
108,96.71,20,Gas,IL,In-Store,136.46,8,0
